Price,Close,High,Low,Open,Volume,RSI,Volume_MA20,Price_Change,MACD,Signal,Bollinger_Upper,Bollinger_Lower,ATR
Ticker,ACHR,ACHR,ACHR,ACHR,ACHR,,,,,,,,
Date,,,,,,,,,,,,,
2022-03-04,2.880000114440918,3.0999999046325684,2.8299999237060547,2.990000009536743,2393500,48.92086516033123,1882540.0,0.014084577986089863,-0.014470307787833647,-0.0031799944322993554,3.2556730007010586,2.78032703649224,0.1284502186343711
2022-03-07,3.0299999713897705,3.200000047683716,2.930000066757202,2.930000066757202,2217200,55.70469777179545,1930805.0,0.05208328159319242,-0.01090033410602409,-0.004724062367044302,3.2556730007010586,2.78032703649224,0.1219980394566583
2022-03-08,3.2799999713897705,3.380000114440918,3.015000104904175,3.0399999618530273,2253000,54.79451428437056,1976910.0,0.08250825160415176,0.011963894096032046,-0.0013864710744290326,3.2936865681152394,2.764313471939082,0.1379201931473933
2022-03-09,3.440000057220459,3.6700000762939453,3.2950000762939453,3.440000057220459,2212100,61.53846271409524,1990985.0,0.04878051439826536,0.04250466213717319,0.007391755567891411,3.361093058823187,2.7249069783701114,0.17732445075451114
2022-03-10,3.309999942779541,3.390000104904175,3.234999895095825,3.390000104904175,1619800,62.74508795615843,1907305.0,-0.03779073031352176,0.05557785119249914,0.01702897469281296,3.3890001270342687,2.713999893946566,0.18599451418634444
2022-03-11,3.1700000762939453,3.5,3.1500000953674316,3.3399999141693115,1454600,56.96969513065623,1685600.0,-0.04229603290205264,0.05401893188722218,0.024426966131694802,3.3991292632808805,2.715870770097721,0.18315310542203345
2022-03-14,2.9100000858306885,3.2200000286102295,2.805000066757202,3.190000057220459,3073500,49.21466066617626,1719610.0,-0.08201892246236897,0.03144121601978256,0.025829816109312356,3.3991292632808805,2.715870770097721,0.18524264964870513
2022-03-15,3.3299999237060547,3.3499999046325684,2.9000000953674316,2.9600000381469727,2935700,61.81817984778059,1805245.0,0.14432983693726364,0.04689807850663552,0.030043468588776993,3.430007626256456,2.731992409983168,0.1765558712753962
2022-03-16,3.880000114440918,3.890000104904175,3.25,3.4000000953674316,3314800,65.99190361559289,1904515.0,0.165165226227018,0.10234836400644776,0.044504447672311154,3.6177094326884465,2.6182906045048515,0.2667385564079541
2022-03-17,4.210000038146973,4.295000076293945,3.822000026702881,3.8499999046325684,3441600,69.34306289881812,2013695.0,0.08505152421976292,0.17095073699844843,0.06979370553753861,3.872360686113197,2.4766393625241934,0.3818578191737101
2022-03-18,4.429999828338623,4.494999885559082,3.8299999237060547,3.9700000286102295,2876100,71.62161683235146,2039705.0,0.05225648175729791,0.24030071919267204,0.1038951082685653,4.133867078893282,2.366132944948577,0.49110324441287684
2022-03-21,4.449999809265137,4.614999771118164,4.28000020980835,4.429999828338623,2104300,71.81207559693051,2071730.0,0.004514668555645196,0.29349172116584343,0.14181443084802092,4.345375563813658,2.3056244352326676,0.5671075222722263
